url,mainBranch,latestCommitSha,starCount,forkCount,commitCount,branchCount,releaseCount,contributorCount,openIssueCount,closedIssueCount,openPullRequestCount,searchResultCount
https://github.com/yangfuhai/afinal,master,e706f0e896f8f819aa9a6a8374c7fe9f71fa4950,865,702,116,2,0,6,21,44,3,0
https://github.com/thest1/LazyList,master,0f37d108f2067f5f44749eb0ad44e51656f96f02,882,367,42,1,0,1,19,21,6,0
https://github.com/metamx/druid,master,db5f04c84dc7b23f87aac31397f1a6457f4903f7,837,146,2993,28,263,36,72,404,12,0
https://github.com/tjerkw/Android-SlideExpandableListView,master,a44e6f0fcfabf3a870469667b219552a5d562e87,901,467,84,1,1,10,19,52,4,0
https://github.com/tinkerpop/blueprints,master,34b5b83fcfd92cca3a69c425c67a9a782dd18c42,824,172,1659,3,17,40,12,461,1,0
https://github.com/rzwitserloot/lombok,master,6afa3d2ec9ec18ed8ae5f6c5217b9fb1710c69c7,827,215,1539,5,33,13,0,0,5,0
https://github.com/perwendel/spark,master,f1f06769abacc6732e511774d4db2306cbe5db54,843,181,206,2,0,24,30,104,15,0
https://github.com/robovm/robovm,master,a72f06e62dbe4afd3271fb3bfa4ca2c4d47d3329,832,113,1017,3,11,10,86,227,1,0
https://github.com/addthis/stream-lib,master,56c48e001341f874c37e0113c09554436e93ea10,808,176,246,10,11,17,6,63,2,0
https://github.com/twitter/ambrose,master,9ff6dc68e6eb7e95645878082774f44acca5814f,847,125,478,5,12,15,32,92,5,0
https://github.com/quartzjer/TeleHash,master,133f4212666911d066f59255e2e7fbd69bea8265,791,65,259,1,0,12,1,11,1,0
https://github.com/todoroo/astrid,master,4fc5c7714fb1b48ae46dcacbda287bcef9c3f6bf,848,635,5112,21,145,19,9,204,0,0
https://github.com/apache/hadoop-common,trunk,572bd72991fe976da586db41ac4dd03466a480dd,795,806,9570,116,183,19,0,0,9,0
https://github.com/jgilfelt/android-viewbadger,master,e08c3a78cb92c0c8587790b15e73434f972912cf,900,349,21,2,0,1,7,3,0,0
https://github.com/jgilfelt/android-mapviewballoons,master,a47528473b562170fbed33b7cf01da2353300acd,806,354,70,5,6,6,19,28,6,0
https://github.com/http-kit/http-kit,master,7184fa8cf2526a24446e7e6602bc16d9d1c0948a,804,90,382,11,18,19,37,106,3,0
https://github.com/cucumber/cucumber-jvm,master,08e6b87a0a21010bf35d643157b7032a40832efd,784,602,2694,49,42,116,99,608,27,0
https://github.com/alibaba/druid,master,4bebaa9d86038ec563febd2f50e7b232544a3ab7,798,495,3735,2,25,26,34,482,2,0
https://github.com/BoltsFramework/Bolts-Android,master,b046dfdbe9b36989ab7bf4492dc403a20118c590,781,64,16,1,1,6,0,9,0,0
https://github.com/Netflix/ice,master,f5cd61177fca0ea0d45eecacc7c3209e8b1bbc57,790,106,137,1,0,14,38,72,10,0
https://github.com/cloudera/flume,master,1d7535638556998e895d55599a2f4a024390edd1,774,148,389,23,24,21,0,0,7,0
https://github.com/jankotek/MapDB,master,c890d8b4edc5fb9d064bb04aa132aea8608f87dd,763,154,898,2,13,16,40,273,0,0
https://github.com/linkedin/indextank-engine,master,f2354fe9db43786126e304d12aae4322ae7b98b1,770,86,87,2,0,6,14,28,1,0
https://github.com/tjake/Solandra,solandra,64e1d192604144c06962e284523cce3c4df51c4e,768,97,443,5,1,9,56,129,2,0
https://github.com/amplab/tachyon,master,6ce29b2da55130e7cb32a32f029fef43cdc35ef5,756,174,1171,8,7,27,14,146,5,0
https://github.com/novoda/android,master,3052e6d253bd6a29c3e9b043ba87021242857ba5,875,444,73,1,2,6,0,2,0,0
https://github.com/facebook/hadoop-20,master,9f1ea1b28047a4b16f4962c7561613f139dd3e86,752,241,27,3,1,3,29,7,7,0
https://github.com/ginatrapani/todo.txt-android,master,ce117c601510cb7343f4633e3033ec0cbfe35ff7,761,315,460,2,17,25,19,439,4,0
https://github.com/OpenTSDB/opentsdb,master,a2bd5737d9d11a8fd3fa6e9c36a31dd8cb5c4af4,733,292,307,3,4,19,105,207,18,0
https://github.com/peter-lawrey/Java-Chronicle,master,6716f0cff0750d125a07eb769bba0698a617b7fb,756,114,305,1,11,12,10,28,1,0
https://github.com/rstudio/rstudio,master,cb0b00ee99905c6e2cf1e88b4bee316214d54769,722,116,8119,34,1415,14,0,0,4,0
https://github.com/kevinweil/elephant-bird,master,ccddfc68e634fea2d05a1804057a1c4826817471,723,233,1118,14,22,41,43,344,10,0
https://github.com/neo4j/neo4j,master,521ec09bd83bdee1ef39af4dc162fe0c88fedf4b,719,352,10000,9,85,79,346,1915,6,0
https://github.com/hazelcast/hazelcast,master,67389104cdb892d040bc15e7df39ab4bd5df3895,718,274,8368,4,53,56,253,2032,6,0
https://github.com/typesafehub/config,master,36c1392028c82db2c146ade29a2f6940bc6f5407,736,84,498,7,19,9,37,119,5,0
https://github.com/JodaOrg/joda-time,master,fcf264d737af5a37d45c6c5c9802487ce53c8de8,722,117,1752,5,37,23,21,117,2,0
https://github.com/leachim6/hello-world,master,02e3bb8c5b356739644d24c60adbe6dda020b6fc,734,325,280,1,0,60,85,43,80,0
