url,mainBranch,starCount,forkCount,commitCount,branchCount,releaseCount,contributorCount,openIssueCount,closedIssueCount,openPullRequestCount
https://github.com/jamesotron/Heap,master,1,3,95,3,0,2,0,1,0
https://github.com/Innocuousjoe/signup.sn,master,0,0,58,1,0,0,0,0,0
https://github.com/JamesHagerman/simple_rspec_test,master,0,0,9,1,0,1,0,0,0
https://github.com/tinypass/ruby-sdk,master,1,0,3,1,0,1,0,0,0
https://github.com/Shashikant86/Cuke_Experiment,master,1,0,12,1,0,1,0,0,0
https://github.com/deadlyicon/STDLIB.js,master,0,0,11,4,0,1,0,0,0
https://github.com/budnik/money,master,0,0,20,1,0,1,0,0,0
https://github.com/chapuzzo/elteumercat-skel,master,0,0,27,1,0,1,0,0,0
https://github.com/carbonfive/raygun-rails,master,5,3,86,2,17,5,26,8,3
https://github.com/Antall/SiteScraper,master,0,0,1,1,0,1,0,0,0
https://github.com/monkeysuffrage/scrapey,master,0,0,33,1,0,1,0,0,0
https://github.com/elreplicante/sinatra-skeleton,master,0,0,1,1,0,1,0,0,0
https://github.com/juanpastas/sync-example,master,0,0,26,1,0,1,0,0,0
https://github.com/Krystosterone/ets-horaire-website,master,1,0,65,2,1,1,0,0,0
https://github.com/linzhixiong/cucumber_environment,master,1,0,6,1,0,1,0,0,0
https://github.com/okettani/Sample_App2,master,0,0,6,1,0,1,0,0,0
https://github.com/100lp/sample_app,master,1,0,12,1,0,1,0,0,0
https://github.com/zechery/JobSearchingFeed,master,1,0,4,1,0,2,0,0,0
https://github.com/CocoThePapaya/Health,master,0,0,13,1,0,1,0,0,0
https://github.com/andreybuiko/empty,master,0,0,3,1,0,1,0,0,0
https://github.com/olareoun/Tolo-Photo-Diary,master,0,0,114,2,0,0,0,0,0
https://github.com/hminden/sample_app,master,1,0,14,1,0,1,0,0,0
https://github.com/mickle00/blog,master,1,0,7,4,0,1,0,0,0
https://github.com/kilativ007/my_finish,master,1,0,7,1,0,1,0,0,0
https://github.com/Jivanvl/Sample_App,master,1,0,6,1,0,1,0,0,0
https://github.com/Dathmar/sample_app,master,1,0,18,1,0,1,0,0,0
https://github.com/mxdm/first_app,master,1,0,11,1,0,1,0,0,0
https://github.com/foxiqsen/sample_app,master,1,0,6,1,0,0,0,0,0
https://github.com/railsplum/sample_app,master,1,0,6,1,0,0,0,0,0
https://github.com/edcastano/sampleapped,master,1,0,5,1,0,1,0,0,0
https://github.com/arjunohri/sample_app,master,1,0,8,1,0,1,0,0,0
https://github.com/wilkin/sample_app,master,1,0,8,1,0,1,0,0,0
https://github.com/jemaddux/small_random,master,0,0,30,1,0,1,0,1,0
https://github.com/rhburrows/capybara-iphone,master,11,5,12,1,2,-1,0,3,0
https://github.com/markevich/quiz,master,1,0,86,1,0,2,0,0,0
https://github.com/ags83/sample_app,master,1,0,9,1,0,1,0,0,0
https://github.com/mysilverbuddha/TweetingTwerps,master,1,0,53,1,0,1,0,0,0
https://github.com/Brad-Jackson/sample_app,master,1,0,16,1,0,1,0,0,0
https://github.com/andrewhl/sample_app,master,1,0,28,1,0,1,0,0,0
https://github.com/aclark06/sample_app,master,1,0,19,1,0,1,0,0,0
https://github.com/rmclaughlin/sample_app,master,1,0,7,1,0,1,0,0,0
https://github.com/slykehn/sample_app,master,1,0,6,1,0,1,0,0,0
https://github.com/frodriguez33/nagster,master,1,0,5,1,0,1,0,0,0
https://github.com/nsanya/second_task,master,0,0,6,1,0,1,0,0,0
https://github.com/mchilton/sample_app,master,1,0,8,1,0,1,0,0,0
https://github.com/raylian/RailsTutorial-sample_app,master,1,0,5,1,0,0,0,0,0
https://github.com/amySukumunu/sample_app,master,1,0,9,1,0,1,0,0,0
https://github.com/knt/book_tracker,master,1,0,41,1,0,1,0,0,0
https://github.com/pmscopracsa/PMS,master,1,0,6,1,0,1,0,0,0
https://github.com/lucy13632/lucy,master,0,0,5,1,0,0,0,0,0
https://github.com/TalentBox/capybara-typhoeus,master,3,1,54,1,17,3,0,1,0
https://github.com/saharawada/sample_app,master,1,0,8,1,0,0,0,0,0
https://github.com/boost09/first_app,master,0,0,11,2,0,1,0,0,0
https://github.com/walski/angular-seed.rb,master,2,0,13,1,3,1,2,4,0
https://github.com/f3oall/sample_app,master,0,0,4,1,0,1,0,0,0
https://github.com/Emeses/sample_app,master,1,0,6,1,0,1,0,0,0
https://github.com/felipegmg/sample_app,master,1,0,6,1,0,1,0,0,0
https://github.com/sshir/sample_app,master,1,0,6,1,0,1,0,0,0
https://github.com/valeron/borcumborc,master,1,0,12,1,0,1,0,0,0
https://github.com/zhangdavi/demo,master,0,0,8,2,0,1,0,0,0
https://github.com/GarretBeebe/sample_rails_app,master,1,0,27,5,0,1,0,0,0
https://github.com/FennecFoxie/sample_app,master,0,0,9,1,0,1,0,0,0
https://github.com/azeem/jsbuild-skeleton,master,0,0,2,1,0,1,0,0,0
https://github.com/Cvarog/sample_app,master,0,0,12,1,0,-1,0,0,0
https://github.com/malikilam/sample_app,master,1,0,30,1,0,-1,0,0,0
https://github.com/thoughtbot/capybara-webkit,master,1270,309,580,25,38,88,70,554,7
